,Expression
456,Disgust
457,Disgust
458,Disgust
459,Disgust
460,Disgust
461,Disgust
462,Disgust
463,Disgust
464,Disgust
465,Disgust
466,Disgust
467,Disgust
468,Disgust
469,Disgust
470,Disgust
471,Disgust
472,Disgust
473,Disgust
474,Disgust
475,Disgust
476,Disgust
477,Disgust
478,Disgust
479,Disgust
480,Disgust
481,Disgust
482,Disgust
483,Disgust
484,Disgust
485,Disgust
486,Disgust
487,Disgust
488,Disgust
489,Disgust
490,Disgust
491,Disgust
492,Disgust
493,Disgust
494,Disgust
495,Disgust
496,Disgust
497,Disgust
498,Disgust
499,Disgust
500,Disgust
501,Disgust
502,Disgust
503,Disgust
504,Disgust
505,Disgust
506,Disgust
507,Disgust
508,Neutral
509,Neutral
510,Neutral
511,Neutral
512,Neutral
513,Neutral
514,Neutral
515,Neutral
516,Neutral
517,Neutral
518,Neutral
519,Neutral
520,Neutral
521,Neutral
522,Neutral
523,Neutral
524,Neutral
525,Neutral
526,Neutral
527,Neutral
528,Neutral
529,Neutral
530,Neutral
531,Neutral
532,Neutral
533,Neutral
534,Neutral
535,Neutral
536,Neutral
537,Neutral
538,Neutral
539,Neutral
540,Neutral
541,Neutral
542,Neutral
543,Neutral
544,Neutral
545,Neutral
546,Neutral
547,Neutral
548,Neutral
549,Neutral
550,Neutral
551,Neutral
552,Neutral
553,Neutral
554,Neutral
555,Neutral
556,Neutral
557,Neutral
558,Neutral
559,Neutral
560,Neutral
561,Neutral
562,Neutral
563,Neutral
564,Neutral
565,Neutral
566,Neutral
567,Neutral
568,Neutral
569,Neutral
570,Neutral
571,Neutral
572,Neutral
573,Neutral
574,Neutral
575,Neutral
576,Neutral
577,Neutral
578,Neutral
579,Neutral
580,Neutral
581,Neutral
582,Neutral
583,Neutral
584,Neutral
585,Neutral
586,Neutral
587,Neutral
588,Neutral
589,Neutral
590,Neutral
591,Neutral
592,Neutral
593,Neutral
594,Neutral
595,Neutral
596,Neutral
597,Neutral
598,Neutral
599,Neutral
600,Neutral
601,Neutral
602,Neutral
603,Neutral
604,Neutral
605,Neutral
606,Neutral
607,Neutral
608,Neutral
609,Neutral
610,Neutral
611,Neutral
612,Neutral
613,Neutral
614,Neutral
615,Neutral
616,Neutral
617,Neutral
618,Neutral
619,Neutral
620,Neutral
621,Neutral
622,Neutral
623,Neutral
624,Neutral
625,Neutral
626,Neutral
627,Neutral
628,Neutral
629,Neutral
630,Neutral
631,Neutral
632,Neutral
633,Neutral
634,Neutral
635,Neutral
636,Neutral
637,Neutral
638,Neutral
639,Neutral
640,Neutral
641,Neutral
642,Neutral
643,Neutral
644,Neutral
645,Neutral
646,Neutral
647,Neutral
648,Neutral
649,Neutral
650,Neutral
651,Neutral
652,Neutral
653,Neutral
654,Neutral
655,Neutral
656,Neutral
657,Neutral
658,Neutral
659,Neutral
660,Neutral
661,Neutral
662,Neutral
663,Neutral
664,Neutral
665,Neutral
666,Neutral
667,Neutral
668,Neutral
669,Neutral
670,Neutral
671,Neutral
672,Neutral
673,Neutral
674,Neutral
675,Neutral
676,Neutral
677,Neutral
678,Neutral
679,Neutral
680,Neutral
681,Neutral
682,Neutral
683,Neutral
684,Neutral
685,Neutral
686,Neutral
687,Neutral
688,Neutral
689,Neutral
690,Neutral
691,Neutral
692,Neutral
693,Neutral
694,Neutral
695,Neutral
696,Neutral
697,Neutral
698,Neutral
699,Neutral
700,Neutral
701,Neutral
702,Neutral
703,Neutral
704,Neutral
705,Neutral
706,Neutral
707,Neutral
708,Neutral
709,Neutral
710,Neutral
711,Neutral
712,Neutral
713,Neutral
714,Neutral
715,Neutral
716,Neutral
717,Neutral
718,Neutral
719,Neutral
720,Neutral
721,Neutral
722,Neutral
723,Neutral
724,Neutral
725,Neutral
726,Neutral
727,Neutral
728,Neutral
729,Neutral
730,Neutral
731,Neutral
732,Neutral
733,Neutral
734,Neutral
735,Neutral
736,Neutral
737,Neutral
738,Neutral
739,Neutral
740,Neutral
741,Neutral
742,Neutral
743,Neutral
744,Neutral
745,Neutral
746,Neutral
747,Neutral
748,Neutral
749,Neutral
750,Neutral
751,Neutral
752,Neutral
753,Neutral
754,Neutral
755,Neutral
756,Neutral
757,Neutral
758,Neutral
759,Neutral
760,Neutral
761,Neutral
762,Neutral
763,Neutral
764,Neutral
765,Neutral
766,Neutral
767,Neutral
768,Neutral
769,Neutral
770,Neutral
771,Neutral
772,Neutral
773,Neutral
774,Neutral
775,Neutral
776,Neutral
777,Neutral
778,Neutral
779,Neutral
780,Angry
781,Angry
782,Angry
783,Angry
784,Angry
785,Angry
786,Angry
787,Angry
788,Angry
789,Angry
790,Angry
791,Angry
792,Angry
793,Angry
794,Angry
795,Angry
796,Angry
797,Angry
798,Angry
799,Angry
800,Angry
801,Angry
802,Angry
803,Angry
804,Angry
805,Angry
806,Angry
807,Angry
808,Angry
809,Angry
810,Angry
811,Angry
812,Angry
813,Angry
814,Angry
815,Angry
816,Angry
817,Angry
818,Angry
819,Angry
820,Angry
821,Angry
822,Angry
823,Angry
824,Angry
825,Angry
826,Angry
827,Angry
828,Angry
829,Angry
830,Angry
831,Angry
832,Angry
833,Angry
834,Angry
835,Angry
836,Angry
837,Angry
838,Angry
839,Angry
840,Angry
841,Angry
842,Angry
843,Angry
844,Angry
845,Angry
846,Angry
847,Angry
848,Angry
849,Angry
850,Angry
851,Angry
852,Angry
853,Angry
854,Angry
855,Angry
856,Angry
857,Angry
858,Angry
859,Angry
860,Angry
861,Angry
862,Angry
863,Angry
864,Angry
865,Angry
866,Angry
867,Angry
868,Angry
869,Angry
870,Angry
871,Angry
872,Angry
873,Angry
874,Angry
875,Angry
876,Angry
877,Angry
878,Angry
879,Angry
880,Neutral
881,Neutral
882,Neutral
883,Neutral
884,Neutral
885,Neutral
886,Neutral
887,Neutral
888,Neutral
889,Neutral
890,Neutral
891,Neutral
892,Neutral
893,Neutral
894,Neutral
895,Neutral
896,Neutral
897,Neutral
898,Neutral
899,Neutral
900,Neutral
901,Neutral
902,Neutral
903,Neutral
904,Neutral
905,Neutral
906,Neutral
907,Neutral
908,Neutral
909,Neutral
910,Neutral
911,Neutral
912,Neutral
913,Neutral
914,Neutral
915,Neutral
916,Neutral
917,Neutral
918,Neutral
919,Neutral
920,Neutral
921,Neutral
922,Neutral
923,Neutral
924,Neutral
925,Neutral
926,Neutral
927,Neutral
928,Neutral
929,Neutral
930,Neutral
931,Neutral
932,Neutral
933,Neutral
934,Neutral
935,Neutral
936,Neutral
937,Neutral
938,Neutral
939,Neutral
940,Neutral
941,Neutral
942,Neutral
943,Surprise
944,Surprise
945,Surprise
946,Surprise
947,Surprise
948,Surprise
949,Surprise
950,Surprise
951,Surprise
952,Surprise
953,Surprise
954,Surprise
955,Surprise
956,Surprise
957,Surprise
958,Surprise
959,Surprise
960,Surprise
961,Surprise
962,Surprise
963,Surprise
964,Surprise
965,Surprise
966,Surprise
967,Surprise
968,Surprise
969,Surprise
970,Surprise
971,Surprise
972,Surprise
973,Surprise
974,Surprise
975,Surprise
976,Surprise
977,Surprise
978,Surprise
979,Surprise
980,Surprise
981,Surprise
982,Surprise
983,Surprise
984,Surprise
985,Surprise
986,Surprise
987,Surprise
988,Surprise
989,Surprise
990,Surprise
991,Surprise
992,Surprise
993,Surprise
994,Surprise
995,Surprise
996,Surprise
997,Surprise
998,Surprise
999,Surprise
1000,Surprise
1001,Surprise
1002,Surprise
1003,Surprise
1004,Surprise
1005,Surprise
1006,Surprise
1007,Surprise
1008,Surprise
1009,Surprise
1010,Surprise
1011,Surprise
1012,Surprise
1013,Surprise
1014,Surprise
1015,Surprise
1016,Surprise
1017,Surprise
1018,Surprise
1019,Surprise
1020,Surprise
1021,Surprise
1022,Surprise
1023,Surprise
1024,Surprise
1025,Surprise
1026,Surprise
1027,Surprise
1028,Surprise
1029,Surprise
1030,Surprise
1031,Surprise
1032,Surprise
1033,Surprise
1034,Surprise
1035,Surprise
1036,Surprise
1037,Surprise
1038,Surprise
1039,Surprise
1040,Surprise
1041,Surprise
1042,Surprise
1043,Neutral
1044,Neutral
1045,Neutral
1046,Neutral
1047,Neutral
1048,Neutral
1049,Neutral
1050,Neutral
1051,Neutral
1052,Neutral
1053,Neutral
1054,Neutral
1055,Neutral
1056,Neutral
1057,Neutral
1058,Neutral
1059,Neutral
1060,Neutral
1061,Neutral
1062,Neutral
1063,Neutral
1064,Neutral
1065,Neutral
1066,Neutral
1067,Neutral
1068,Neutral
1069,Neutral
1070,Neutral
1071,Neutral
1072,Neutral
1073,Neutral
1074,Neutral
1075,Neutral
1076,Neutral
1077,Neutral
1078,Neutral
1079,Neutral
1080,Neutral
1081,Neutral
1082,Neutral
1083,Neutral
1084,Neutral
1085,Neutral
1086,Neutral
1087,Neutral
1088,Neutral
1089,Neutral
1090,Neutral
1091,Neutral
1092,Sad
1093,Sad
1094,Sad
1095,Sad
1096,Sad
1097,Sad
1098,Sad
1099,Sad
1100,Sad
1101,Sad
1102,Sad
1103,Sad
1104,Sad
1105,Sad
1106,Sad
1107,Sad
1108,Sad
1109,Sad
1110,Sad
1111,Sad
1112,Sad
1113,Sad
1114,Sad
1115,Sad
1116,Sad
1117,Sad
1118,Sad
1119,Sad
1120,Sad
1121,Sad
1122,Sad
1123,Sad
1124,Sad
1125,Sad
1126,Sad
1127,Sad
1128,Sad
1129,Sad
1130,Sad
1131,Sad
1132,Sad
1133,Sad
1134,Sad
1135,Sad
1136,Sad
1137,Sad
1138,Sad
1139,Sad
1140,Sad
1141,Sad
1142,Sad
1143,Sad
1144,Sad
1145,Sad
1146,Sad
1147,Sad
1148,Sad
1149,Sad
1150,Sad
1151,Sad
1152,Sad
1153,Sad
1154,Sad
1155,Sad
1156,Sad
1157,Sad
1158,Sad
1159,Sad
1160,Sad
1161,Sad
1162,Sad
1163,Sad
1164,Sad
1165,Sad
1166,Sad
1167,Sad
1168,Sad
1169,Sad
1170,Sad
1171,Sad
1172,Sad
1173,Sad
1174,Sad
1175,Sad
1176,Sad
1177,Sad
1178,Sad
1179,Sad
1180,Sad
1181,Sad
1182,Sad
1183,Sad
1184,Sad
1185,Sad
1186,Sad
1187,Sad
1188,Sad
1189,Sad
1190,Sad
1191,Sad
1192,Neutral
1193,Neutral
1194,Neutral
1195,Neutral
1196,Neutral
1197,Neutral
1198,Neutral
1199,Neutral
1200,Neutral
1201,Neutral
1202,Neutral
1203,Neutral
1204,Neutral
1205,Neutral
1206,Neutral
1207,Neutral
1208,Neutral
1209,Neutral
1210,Neutral
1211,Neutral
1212,Neutral
1213,Neutral
1214,Neutral
1215,Neutral
1216,Neutral
1217,Neutral
1218,Neutral
1219,Neutral
1220,Neutral
1221,Neutral
1222,Neutral
1223,Neutral
1224,Neutral
1225,Neutral
1226,Neutral
1227,Neutral
1228,Neutral
1229,Neutral
1230,Neutral
1231,Neutral
1232,Neutral
1233,Neutral
1234,Neutral
1235,Neutral
1236,Neutral
1237,Neutral
1238,Neutral
1239,Neutral
1240,Neutral
1241,Neutral
1242,Neutral
1243,Neutral
1244,Neutral
1245,Neutral
1246,Neutral
1247,Neutral
1248,Neutral
1249,Neutral
1250,Neutral
1251,Neutral
1252,Neutral
