,Expression
456,Neutral
457,Neutral
458,Neutral
459,Neutral
460,Neutral
461,Neutral
462,Neutral
463,Neutral
464,Neutral
465,Neutral
466,Neutral
467,Neutral
468,Neutral
469,Neutral
470,Neutral
471,Neutral
472,Neutral
473,Neutral
474,Neutral
475,Neutral
476,Neutral
477,Neutral
478,Neutral
479,Neutral
480,Neutral
481,Neutral
482,Neutral
483,Neutral
484,Neutral
485,Neutral
486,Neutral
487,Neutral
488,Neutral
489,Neutral
490,Neutral
491,Neutral
492,Neutral
493,Neutral
494,Neutral
495,Neutral
496,Neutral
497,Neutral
498,Neutral
499,Neutral
500,Neutral
501,Neutral
502,Neutral
503,Neutral
504,Neutral
505,Neutral
506,Fear
507,Fear
508,Fear
509,Fear
510,Fear
511,Fear
512,Fear
513,Fear
514,Fear
515,Fear
516,Fear
517,Fear
518,Fear
519,Fear
520,Fear
521,Fear
522,Fear
523,Fear
524,Fear
525,Fear
526,Fear
527,Fear
528,Fear
529,Fear
530,Fear
531,Fear
532,Fear
533,Fear
534,Fear
535,Fear
536,Fear
537,Fear
538,Fear
539,Fear
540,Fear
541,Fear
542,Fear
543,Fear
544,Fear
545,Fear
546,Fear
547,Fear
548,Fear
549,Fear
550,Fear
551,Fear
552,Fear
553,Fear
554,Fear
555,Fear
556,Fear
557,Fear
558,Fear
559,Fear
560,Fear
561,Fear
562,Fear
563,Fear
564,Fear
565,Fear
566,Fear
567,Fear
568,Fear
569,Fear
570,Fear
571,Fear
572,Fear
573,Fear
574,Fear
575,Fear
576,Fear
577,Fear
578,Fear
579,Fear
580,Fear
581,Fear
582,Fear
583,Fear
584,Fear
585,Fear
586,Fear
587,Fear
588,Fear
589,Fear
590,Fear
591,Fear
592,Fear
593,Fear
594,Fear
595,Fear
596,Fear
597,Fear
598,Fear
599,Fear
600,Fear
601,Fear
602,Fear
603,Fear
604,Fear
605,Fear
606,Neutral
607,Neutral
608,Neutral
609,Neutral
610,Neutral
611,Neutral
612,Neutral
613,Neutral
614,Neutral
615,Neutral
616,Neutral
617,Neutral
618,Neutral
619,Neutral
620,Neutral
621,Neutral
622,Neutral
623,Neutral
624,Neutral
625,Neutral
626,Neutral
627,Neutral
628,Neutral
629,Neutral
630,Neutral
631,Neutral
632,Neutral
633,Neutral
634,Neutral
635,Neutral
636,Neutral
637,Neutral
638,Neutral
639,Neutral
640,Neutral
641,Neutral
642,Neutral
643,Neutral
644,Neutral
645,Neutral
646,Neutral
647,Neutral
648,Neutral
649,Neutral
650,Neutral
651,Neutral
652,Neutral
653,Neutral
654,Neutral
655,Neutral
656,Neutral
657,Neutral
658,Neutral
659,Neutral
660,Neutral
661,Neutral
662,Neutral
663,Neutral
664,Neutral
665,Neutral
666,Neutral
667,Neutral
668,Neutral
669,Neutral
670,Neutral
671,Neutral
672,Neutral
673,Neutral
674,Neutral
675,Neutral
676,Neutral
677,Neutral
678,Neutral
679,Neutral
680,Neutral
681,Neutral
682,Neutral
683,Neutral
684,Neutral
685,Neutral
686,Neutral
687,Neutral
688,Neutral
689,Neutral
690,Neutral
691,Neutral
692,Neutral
693,Neutral
694,Neutral
695,Neutral
696,Neutral
697,Neutral
698,Neutral
699,Neutral
700,Neutral
701,Neutral
702,Neutral
703,Neutral
704,Neutral
705,Neutral
706,Neutral
707,Neutral
708,Neutral
709,Neutral
710,Neutral
711,Neutral
712,Neutral
713,Neutral
714,Neutral
715,Neutral
716,Neutral
717,Neutral
718,Neutral
719,Neutral
720,Neutral
721,Neutral
722,Neutral
723,Neutral
724,Neutral
725,Neutral
726,Neutral
727,Neutral
728,Neutral
729,Neutral
730,Angry
731,Angry
732,Angry
733,Angry
734,Angry
735,Angry
736,Angry
737,Angry
738,Angry
739,Angry
740,Angry
741,Angry
742,Angry
743,Angry
744,Angry
745,Angry
746,Angry
747,Angry
748,Angry
749,Angry
750,Angry
751,Angry
752,Angry
753,Angry
754,Angry
755,Angry
756,Angry
757,Angry
758,Angry
759,Angry
760,Angry
761,Angry
762,Angry
763,Angry
764,Angry
765,Angry
766,Angry
767,Angry
768,Angry
769,Angry
770,Angry
771,Angry
772,Angry
773,Angry
774,Angry
775,Angry
776,Angry
777,Angry
778,Angry
779,Angry
780,Angry
781,Angry
782,Angry
783,Angry
784,Angry
785,Angry
786,Angry
787,Angry
788,Angry
789,Angry
790,Angry
791,Angry
792,Angry
793,Angry
794,Angry
795,Angry
796,Angry
797,Angry
798,Angry
799,Angry
800,Angry
801,Angry
802,Angry
803,Angry
804,Angry
805,Angry
806,Angry
807,Angry
808,Angry
809,Angry
810,Angry
811,Angry
812,Angry
813,Angry
814,Angry
815,Angry
816,Angry
817,Angry
818,Angry
819,Angry
820,Angry
821,Angry
822,Angry
823,Angry
824,Angry
825,Angry
826,Angry
827,Angry
828,Angry
829,Angry
830,Neutral
831,Neutral
832,Neutral
833,Neutral
834,Neutral
835,Neutral
836,Neutral
837,Neutral
838,Neutral
839,Neutral
840,Neutral
841,Neutral
842,Neutral
843,Neutral
844,Neutral
845,Neutral
846,Neutral
847,Neutral
848,Neutral
849,Neutral
850,Neutral
851,Neutral
852,Neutral
853,Neutral
854,Neutral
855,Neutral
856,Neutral
857,Neutral
858,Neutral
859,Neutral
860,Neutral
861,Neutral
862,Neutral
863,Neutral
864,Neutral
865,Neutral
866,Neutral
867,Neutral
868,Neutral
869,Neutral
870,Neutral
871,Neutral
872,Neutral
873,Neutral
874,Neutral
875,Neutral
876,Neutral
877,Neutral
878,Neutral
879,Neutral
880,Neutral
881,Neutral
882,Neutral
883,Neutral
884,Neutral
885,Neutral
886,Neutral
887,Neutral
888,Neutral
889,Neutral
890,Neutral
891,Surprise
892,Surprise
893,Surprise
894,Surprise
895,Surprise
896,Surprise
897,Surprise
898,Surprise
899,Surprise
900,Surprise
901,Surprise
902,Surprise
903,Surprise
904,Surprise
905,Surprise
906,Surprise
907,Surprise
908,Surprise
909,Surprise
910,Surprise
911,Surprise
912,Surprise
913,Surprise
914,Surprise
915,Surprise
916,Surprise
917,Surprise
918,Surprise
919,Surprise
920,Surprise
921,Surprise
922,Surprise
923,Surprise
924,Surprise
925,Surprise
926,Surprise
927,Surprise
928,Surprise
929,Surprise
930,Surprise
931,Surprise
932,Surprise
933,Surprise
934,Surprise
935,Surprise
936,Surprise
937,Surprise
938,Surprise
939,Surprise
940,Surprise
941,Surprise
942,Surprise
943,Surprise
944,Surprise
945,Surprise
946,Surprise
947,Surprise
948,Surprise
949,Surprise
950,Surprise
951,Surprise
952,Surprise
953,Surprise
954,Surprise
955,Surprise
956,Surprise
957,Surprise
958,Surprise
959,Surprise
960,Surprise
961,Surprise
962,Surprise
963,Surprise
964,Surprise
965,Surprise
966,Surprise
967,Surprise
968,Surprise
969,Surprise
970,Surprise
971,Surprise
972,Surprise
973,Surprise
974,Surprise
975,Surprise
976,Surprise
977,Surprise
978,Surprise
979,Surprise
980,Surprise
981,Surprise
982,Surprise
983,Surprise
984,Surprise
985,Surprise
986,Surprise
987,Surprise
988,Surprise
989,Surprise
990,Surprise
991,Neutral
992,Neutral
993,Neutral
994,Neutral
995,Neutral
996,Neutral
997,Neutral
998,Neutral
999,Neutral
1000,Neutral
1001,Neutral
1002,Neutral
1003,Neutral
1004,Neutral
1005,Neutral
1006,Neutral
1007,Neutral
1008,Neutral
1009,Neutral
1010,Neutral
1011,Neutral
1012,Neutral
1013,Neutral
1014,Neutral
1015,Neutral
1016,Neutral
1017,Neutral
1018,Neutral
1019,Neutral
1020,Neutral
1021,Neutral
1022,Neutral
1023,Neutral
1024,Neutral
1025,Neutral
1026,Neutral
1027,Neutral
1028,Neutral
1029,Neutral
1030,Neutral
1031,Neutral
1032,Neutral
1033,Neutral
1034,Neutral
1035,Neutral
1036,Neutral
1037,Neutral
1038,Neutral
1039,Neutral
1040,Neutral
1041,Neutral
1042,Neutral
1043,Neutral
1044,Neutral
1045,Neutral
1046,Disgust
1047,Disgust
1048,Disgust
1049,Disgust
1050,Disgust
1051,Disgust
1052,Disgust
1053,Disgust
1054,Disgust
1055,Disgust
1056,Disgust
1057,Disgust
1058,Disgust
1059,Disgust
1060,Disgust
1061,Disgust
1062,Disgust
1063,Disgust
1064,Disgust
1065,Disgust
1066,Disgust
1067,Disgust
1068,Disgust
1069,Disgust
1070,Disgust
1071,Disgust
1072,Disgust
1073,Disgust
1074,Disgust
1075,Disgust
1076,Disgust
1077,Disgust
1078,Disgust
1079,Disgust
1080,Disgust
1081,Disgust
1082,Disgust
1083,Disgust
1084,Disgust
1085,Disgust
1086,Disgust
1087,Disgust
1088,Disgust
1089,Disgust
1090,Disgust
1091,Disgust
1092,Disgust
1093,Disgust
1094,Disgust
1095,Disgust
1096,Disgust
1097,Disgust
1098,Disgust
1099,Disgust
1100,Disgust
1101,Disgust
1102,Disgust
1103,Disgust
1104,Disgust
1105,Disgust
1106,Disgust
1107,Disgust
1108,Disgust
1109,Disgust
1110,Disgust
1111,Disgust
1112,Disgust
1113,Disgust
1114,Disgust
1115,Disgust
1116,Disgust
1117,Disgust
1118,Disgust
1119,Disgust
1120,Disgust
1121,Disgust
1122,Disgust
1123,Disgust
1124,Disgust
1125,Disgust
1126,Disgust
1127,Disgust
1128,Disgust
1129,Disgust
1130,Disgust
1131,Disgust
1132,Disgust
1133,Disgust
1134,Disgust
1135,Disgust
1136,Disgust
1137,Disgust
1138,Disgust
1139,Disgust
1140,Disgust
1141,Disgust
1142,Disgust
1143,Disgust
1144,Disgust
1145,Disgust
1146,Neutral
1147,Neutral
1148,Neutral
1149,Neutral
1150,Neutral
1151,Neutral
1152,Neutral
1153,Neutral
1154,Neutral
1155,Neutral
1156,Neutral
1157,Neutral
1158,Neutral
1159,Neutral
1160,Neutral
1161,Neutral
1162,Neutral
1163,Neutral
1164,Neutral
1165,Neutral
1166,Neutral
1167,Neutral
1168,Neutral
1169,Neutral
1170,Neutral
1171,Neutral
1172,Neutral
1173,Neutral
1174,Neutral
1175,Neutral
1176,Neutral
1177,Neutral
1178,Neutral
1179,Neutral
1180,Neutral
1181,Neutral
1182,Neutral
1183,Neutral
1184,Neutral
1185,Neutral
1186,Neutral
1187,Neutral
1188,Neutral
1189,Neutral
1190,Neutral
1191,Neutral
1192,Neutral
1193,Neutral
1194,Neutral
1195,Neutral
1196,Neutral
1197,Neutral
1198,Neutral
1199,Neutral
1200,Neutral
1201,Neutral
1202,Neutral
1203,Neutral
1204,Neutral
1205,Neutral
1206,Neutral
1207,Neutral
1208,Neutral
1209,Neutral
1210,Neutral
1211,Neutral
1212,Neutral
1213,Neutral
1214,Neutral
1215,Neutral
1216,Neutral
1217,Neutral
1218,Neutral
1219,Neutral
1220,Neutral
1221,Neutral
1222,Neutral
1223,Neutral
1224,Neutral
1225,Neutral
1226,Neutral
1227,Neutral
1228,Neutral
1229,Neutral
1230,Neutral
1231,Neutral
1232,Neutral
1233,Neutral
1234,Neutral
1235,Neutral
1236,Neutral
1237,Neutral
1238,Neutral
1239,Neutral
1240,Neutral
1241,Neutral
1242,Neutral
1243,Neutral
1244,Neutral
1245,Neutral
1246,Neutral
1247,Neutral
1248,Neutral
1249,Neutral
1250,Neutral
1251,Neutral
1252,Neutral
