,Expression
442,Neutral
443,Neutral
444,Neutral
445,Neutral
446,Neutral
447,Neutral
448,Disgust
449,Disgust
450,Disgust
451,Disgust
452,Disgust
453,Disgust
454,Disgust
455,Disgust
456,Disgust
457,Disgust
458,Disgust
459,Disgust
460,Disgust
461,Disgust
462,Disgust
463,Disgust
464,Disgust
465,Disgust
466,Disgust
467,Disgust
468,Disgust
469,Disgust
470,Disgust
471,Disgust
472,Disgust
473,Disgust
474,Disgust
475,Disgust
476,Disgust
477,Disgust
478,Disgust
479,Disgust
480,Disgust
481,Disgust
482,Disgust
483,Disgust
484,Disgust
485,Disgust
486,Disgust
487,Disgust
488,Disgust
489,Disgust
490,Disgust
491,Disgust
492,Disgust
493,Disgust
494,Disgust
495,Disgust
496,Disgust
497,Disgust
498,Disgust
499,Disgust
500,Disgust
501,Disgust
502,Disgust
503,Disgust
504,Disgust
505,Disgust
506,Disgust
507,Disgust
508,Disgust
509,Disgust
510,Disgust
511,Disgust
512,Disgust
513,Disgust
514,Disgust
515,Disgust
516,Disgust
517,Disgust
518,Disgust
519,Disgust
520,Disgust
521,Disgust
522,Disgust
523,Disgust
524,Disgust
525,Disgust
526,Disgust
527,Disgust
528,Disgust
529,Disgust
530,Disgust
531,Disgust
532,Disgust
533,Disgust
534,Disgust
535,Disgust
536,Disgust
537,Disgust
538,Disgust
539,Disgust
540,Disgust
541,Disgust
542,Disgust
543,Disgust
544,Disgust
545,Disgust
546,Disgust
547,Disgust
548,Neutral
549,Neutral
550,Neutral
551,Neutral
552,Neutral
553,Neutral
554,Neutral
555,Neutral
556,Neutral
557,Neutral
558,Neutral
559,Neutral
560,Neutral
561,Neutral
562,Neutral
563,Neutral
564,Neutral
565,Neutral
566,Neutral
567,Neutral
568,Neutral
569,Neutral
570,Neutral
571,Neutral
572,Neutral
573,Neutral
574,Neutral
575,Neutral
576,Neutral
577,Neutral
578,Neutral
579,Neutral
580,Neutral
581,Neutral
582,Neutral
583,Neutral
584,Neutral
585,Neutral
586,Neutral
587,Neutral
588,Neutral
589,Neutral
590,Neutral
591,Neutral
592,Neutral
593,Neutral
594,Neutral
595,Neutral
596,Neutral
597,Neutral
598,Neutral
599,Neutral
600,Neutral
601,Neutral
602,Neutral
603,Neutral
604,Neutral
605,Neutral
606,Neutral
607,Neutral
608,Neutral
609,Neutral
610,Neutral
611,Neutral
612,Neutral
613,Neutral
614,Neutral
615,Neutral
616,Neutral
617,Neutral
618,Neutral
619,Neutral
620,Neutral
621,Neutral
622,Neutral
623,Neutral
624,Neutral
625,Neutral
626,Neutral
627,Neutral
628,Neutral
629,Neutral
630,Neutral
631,Neutral
632,Neutral
633,Neutral
634,Neutral
635,Neutral
636,Neutral
637,Neutral
638,Neutral
639,Neutral
640,Neutral
641,Neutral
642,Angry
643,Angry
644,Angry
645,Angry
646,Angry
647,Angry
648,Angry
649,Angry
650,Angry
651,Angry
652,Angry
653,Angry
654,Angry
655,Angry
656,Angry
657,Angry
658,Angry
659,Angry
660,Angry
661,Angry
662,Angry
663,Angry
664,Angry
665,Angry
666,Angry
667,Angry
668,Angry
669,Angry
670,Angry
671,Angry
672,Angry
673,Angry
674,Angry
675,Angry
676,Angry
677,Angry
678,Angry
679,Angry
680,Angry
681,Angry
682,Angry
683,Angry
684,Angry
685,Angry
686,Angry
687,Angry
688,Angry
689,Angry
690,Angry
691,Angry
692,Angry
693,Angry
694,Angry
695,Angry
696,Angry
697,Angry
698,Angry
699,Angry
700,Angry
701,Angry
702,Angry
703,Angry
704,Angry
705,Angry
706,Angry
707,Angry
708,Angry
709,Angry
710,Angry
711,Angry
712,Angry
713,Angry
714,Angry
715,Angry
716,Angry
717,Angry
718,Angry
719,Angry
720,Angry
721,Angry
722,Angry
723,Angry
724,Angry
725,Angry
726,Angry
727,Angry
728,Angry
729,Angry
730,Angry
731,Angry
732,Angry
733,Angry
734,Angry
735,Angry
736,Angry
737,Angry
738,Angry
739,Angry
740,Angry
741,Angry
742,Neutral
743,Neutral
744,Neutral
745,Neutral
746,Neutral
747,Neutral
748,Neutral
749,Neutral
750,Neutral
751,Neutral
752,Neutral
753,Neutral
754,Neutral
755,Neutral
756,Neutral
757,Neutral
758,Neutral
759,Neutral
760,Neutral
761,Neutral
762,Neutral
763,Neutral
764,Neutral
765,Neutral
766,Neutral
767,Neutral
768,Neutral
769,Neutral
770,Neutral
771,Neutral
772,Neutral
773,Neutral
774,Neutral
775,Neutral
776,Neutral
777,Neutral
778,Neutral
779,Neutral
780,Neutral
781,Neutral
782,Neutral
783,Neutral
784,Neutral
785,Neutral
786,Neutral
787,Neutral
788,Fear
789,Fear
790,Fear
791,Fear
792,Fear
793,Fear
794,Fear
795,Fear
796,Fear
797,Fear
798,Fear
799,Fear
800,Fear
801,Fear
802,Fear
803,Fear
804,Fear
805,Fear
806,Fear
807,Fear
808,Fear
809,Fear
810,Fear
811,Fear
812,Fear
813,Fear
814,Fear
815,Fear
816,Fear
817,Fear
818,Fear
819,Fear
820,Fear
821,Fear
822,Fear
823,Fear
824,Fear
825,Fear
826,Fear
827,Fear
828,Fear
829,Fear
830,Fear
831,Fear
832,Fear
833,Fear
834,Fear
835,Fear
836,Fear
837,Fear
838,Fear
839,Fear
840,Fear
841,Fear
842,Fear
843,Fear
844,Fear
845,Fear
846,Fear
847,Fear
848,Fear
849,Fear
850,Fear
851,Fear
852,Fear
853,Fear
854,Fear
855,Fear
856,Fear
857,Fear
858,Fear
859,Fear
860,Fear
861,Fear
862,Fear
863,Fear
864,Fear
865,Fear
866,Fear
867,Fear
868,Fear
869,Fear
870,Fear
871,Fear
872,Fear
873,Fear
874,Fear
875,Fear
876,Fear
877,Fear
878,Fear
879,Fear
880,Fear
881,Fear
882,Fear
883,Fear
884,Fear
885,Fear
886,Fear
887,Fear
888,Neutral
889,Neutral
890,Neutral
891,Neutral
892,Neutral
893,Neutral
894,Neutral
895,Neutral
896,Neutral
897,Neutral
898,Neutral
899,Neutral
900,Neutral
901,Neutral
902,Neutral
903,Neutral
904,Neutral
905,Neutral
906,Neutral
907,Neutral
908,Neutral
909,Neutral
910,Neutral
911,Neutral
912,Neutral
913,Neutral
914,Neutral
915,Neutral
916,Neutral
917,Neutral
918,Neutral
919,Neutral
920,Neutral
921,Neutral
922,Neutral
923,Neutral
924,Neutral
925,Neutral
926,Neutral
927,Neutral
928,Neutral
929,Neutral
930,Neutral
931,Neutral
932,Neutral
933,Neutral
934,Neutral
935,Neutral
936,Neutral
937,Neutral
938,Neutral
939,Neutral
940,Neutral
941,Neutral
942,Neutral
943,Neutral
944,Neutral
945,Neutral
946,Neutral
947,Neutral
948,Neutral
949,Neutral
950,Sad
951,Sad
952,Sad
953,Sad
954,Sad
955,Sad
956,Sad
957,Sad
958,Sad
959,Sad
960,Sad
961,Sad
962,Sad
963,Sad
964,Sad
965,Sad
966,Sad
967,Sad
968,Sad
969,Sad
970,Sad
971,Sad
972,Sad
973,Sad
974,Sad
975,Sad
976,Sad
977,Sad
978,Sad
979,Sad
980,Sad
981,Sad
982,Sad
983,Sad
984,Sad
985,Sad
986,Sad
987,Sad
988,Sad
989,Sad
990,Sad
991,Sad
992,Sad
993,Sad
994,Sad
995,Sad
996,Sad
997,Sad
998,Sad
999,Sad
1000,Sad
1001,Sad
1002,Sad
1003,Sad
1004,Sad
1005,Sad
1006,Sad
1007,Sad
1008,Sad
1009,Sad
1010,Sad
1011,Sad
1012,Sad
1013,Sad
1014,Sad
1015,Sad
1016,Sad
1017,Sad
1018,Sad
1019,Sad
1020,Sad
1021,Sad
1022,Sad
1023,Sad
1024,Sad
1025,Sad
1026,Sad
1027,Sad
1028,Sad
1029,Sad
1030,Sad
1031,Sad
1032,Sad
1033,Sad
1034,Sad
1035,Sad
1036,Sad
1037,Sad
1038,Sad
1039,Sad
1040,Sad
1041,Sad
1042,Sad
1043,Sad
1044,Sad
1045,Sad
1046,Sad
1047,Sad
1048,Sad
1049,Sad
1050,Neutral
1051,Neutral
1052,Neutral
1053,Neutral
1054,Neutral
1055,Neutral
1056,Neutral
1057,Neutral
1058,Neutral
1059,Neutral
1060,Neutral
1061,Neutral
1062,Neutral
1063,Neutral
1064,Neutral
1065,Neutral
1066,Neutral
1067,Neutral
1068,Neutral
1069,Neutral
1070,Neutral
1071,Neutral
1072,Neutral
1073,Neutral
1074,Neutral
1075,Neutral
1076,Neutral
1077,Neutral
1078,Neutral
1079,Neutral
1080,Neutral
1081,Neutral
1082,Neutral
1083,Neutral
1084,Neutral
1085,Neutral
1086,Neutral
1087,Neutral
1088,Neutral
1089,Neutral
1090,Neutral
1091,Neutral
1092,Neutral
1093,Neutral
1094,Neutral
1095,Neutral
1096,Neutral
1097,Neutral
1098,Neutral
1099,Neutral
1100,Neutral
1101,Neutral
1102,Neutral
1103,Neutral
1104,Neutral
1105,Neutral
1106,Neutral
1107,Neutral
1108,Neutral
1109,Neutral
1110,Neutral
1111,Neutral
1112,Neutral
1113,Neutral
1114,Neutral
1115,Neutral
1116,Neutral
1117,Neutral
1118,Neutral
1119,Neutral
1120,Neutral
1121,Neutral
1122,Neutral
1123,Neutral
1124,Neutral
1125,Neutral
1126,Neutral
1127,Neutral
1128,Neutral
1129,Neutral
1130,Neutral
1131,Neutral
1132,Neutral
1133,Neutral
1134,Neutral
1135,Neutral
1136,Neutral
1137,Neutral
1138,Neutral
1139,Neutral
1140,Neutral
1141,Neutral
1142,Neutral
1143,Neutral
1144,Neutral
1145,Neutral
1146,Neutral
1147,Neutral
1148,Neutral
1149,Neutral
1150,Neutral
1151,Neutral
1152,Neutral
1153,Neutral
1154,Neutral
1155,Neutral
1156,Neutral
1157,Neutral
1158,Neutral
1159,Neutral
1160,Neutral
1161,Neutral
1162,Neutral
1163,Neutral
1164,Neutral
1165,Neutral
1166,Neutral
1167,Neutral
1168,Neutral
1169,Neutral
1170,Neutral
1171,Neutral
1172,Neutral
1173,Neutral
1174,Neutral
1175,Neutral
1176,Neutral
1177,Neutral
1178,Neutral
1179,Neutral
1180,Neutral
1181,Neutral
1182,Neutral
1183,Neutral
1184,Neutral
1185,Neutral
1186,Neutral
1187,Neutral
1188,Neutral
1189,Neutral
1190,Neutral
1191,Neutral
1192,Neutral
1193,Neutral
1194,Neutral
1195,Neutral
1196,Neutral
1197,Neutral
1198,Neutral
1199,Neutral
1200,Neutral
1201,Neutral
1202,Neutral
1203,Neutral
1204,Neutral
1205,Neutral
1206,Neutral
1207,Neutral
1208,Neutral
1209,Neutral
1210,Neutral
1211,Neutral
1212,Neutral
1213,Neutral
1214,Neutral
1215,Neutral
1216,Neutral
1217,Neutral
1218,Neutral
1219,Neutral
1220,Neutral
1221,Neutral
1222,Neutral
1223,Neutral
1224,Neutral
1225,Neutral
1226,Neutral
1227,Neutral
1228,Neutral
1229,Neutral
1230,Neutral
1231,Neutral
1232,Neutral
1233,Neutral
1234,Neutral
1235,Neutral
1236,Neutral
1237,Neutral
1238,Neutral
1239,Neutral
1240,Neutral
1241,Neutral
1242,Neutral
1243,Neutral
1244,Neutral
1245,Neutral
1246,Neutral
1247,Neutral
1248,Neutral
1249,Neutral
1250,Neutral
1251,Neutral
1252,Neutral
